symbol,Date,Close,High,low,Open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-08-27 00:00:00+00:00,500.04,509.94,495.33,508.57,38888096,124.3974932,126.8603665,123.2257625,126.5195447,155552384,0,1
AAPL,2020-08-28 00:00:00+00:00,499.23,505.77,498.31,504.05,46907479,124.1959854,125.8229744,123.9671123,125.3950813,187629916,0,1
AAPL,2020-08-31 00:00:00+00:00,129.04,131,126,127.58,223505733,128.4077476,130.3581442,125.3826425,126.9549011,223505733,0,4
AAPL,2020-09-01 00:00:00+00:00,134.18,134.8,130.53,132.76,152470142,133.5225633,134.1395255,129.8904471,132.1095208,152470142,0,1
AAPL,2020-09-02 00:00:00+00:00,131.4,137.98,127,137.59,200118991,130.7561843,137.3039446,126.3777429,136.9158554,200118991,0,1
AAPL,2020-09-03 00:00:00+00:00,120.88,128.84,120.5,126.91,257599640,120.2877288,128.2087275,119.9095907,126.2881838,257599640,0,1
AAPL,2020-09-04 00:00:00+00:00,120.96,123.7,110.89,120.07,332607163,120.3673368,123.0939117,110.3466764,119.4816975,332607163,0,1
AAPL,2020-09-08 00:00:00+00:00,112.82,118.99,112.68,113.95,231366563,112.2672201,118.4069892,112.127906,113.3916835,231366563,0,1
AAPL,2020-09-09 00:00:00+00:00,117.32,119.14,115.26,117.26,176940455,116.7451716,118.5562542,114.6952649,116.6854656,176940455,0,1
AAPL,2020-09-10 00:00:00+00:00,113.49,120.5,112.5,120.36,182274391,112.9339373,119.9095907,111.948788,119.7702766,182274391,0,1
AAPL,2020-09-11 00:00:00+00:00,112,115.23,110,114.57,180860325,111.4512378,114.6654119,109.4610371,114.0086457,180860325,0,1
AAPL,2020-09-14 00:00:00+00:00,115.355,115.93,112.8,114.72,140150087,114.7897994,115.3619821,112.2473181,114.1579107,140150087,0,1
AAPL,2020-09-15 00:00:00+00:00,115.54,118.829,113.61,118.33,184642039,114.973893,118.246778,113.0533493,117.7502229,184642039,0,1
AAPL,2020-09-16 00:00:00+00:00,112.13,116,112.04,115.23,155026675,111.5806008,115.4316391,111.4910418,114.6654119,155026675,0,1
AAPL,2020-09-17 00:00:00+00:00,110.34,112.2,108.71,109.72,178010968,109.7993712,111.6502579,108.1773577,109.182409,178010968,0,1
AAPL,2020-09-18 00:00:00+00:00,106.84,110.88,106.09,110.4,287104882,106.3165201,110.3367254,105.5701948,109.8590773,287104882,0,1
AAPL,2020-09-21 00:00:00+00:00,110.08,110.19,103.1,104.54,195713815,109.5406452,109.6501062,102.5948448,104.0277893,195713815,0,1
